4.200000000000000178e+00,8.400000000000000355e+00,4.200000000000000178e+00,-3.429362937111114507e-01
2.799999999999999822e+00,4.200000000000000178e+00,2.799999999999999822e+00,-1.086950313411724905e-01
1.819999999999999929e+01,1.819999999999999929e+01,6.215997597775181127e+00,-4.579124598509065613e-01
2.799999999999999822e+00,4.200000000000000178e+00,2.799999999999999822e+00,-1.402924265728969777e-01
6.000000000000000000e+01,6.000000000000000000e+01,6.000000000000000000e+01,-4.489526258122270019e-01
7.000000000000000000e+00,8.400000000000000355e+00,7.000000000000000000e+00,-4.144314690059182626e-01
5.599999999999999645e+00,7.000000000000000000e+00,5.599999999999999645e+00,-3.976663758671826199e-01
4.200000000000000178e+00,4.200000000000000178e+00,3.043333333333333446e+00,-2.918002728873098084e-01
5.599999999999999645e+00,7.000000000000000000e+00,5.599999999999999645e+00,-3.871910737134011127e-01
7.000000000000000000e+00,9.800000000000000711e+00,7.000000000000000000e+00,-3.934700537508749596e-01
2.799999999999999822e+00,2.799999999999999822e+00,2.799999999999999822e+00,-2.387382809995061000e-02
6.000000000000000000e+01,6.000000000000000000e+01,6.000000000000000000e+01,-3.040135796049832639e-01
2.799999999999999822e+00,2.799999999999999822e+00,2.799999999999999822e+00,-1.335914322047264124e-01
7.000000000000000000e+00,9.800000000000000711e+00,6.684951738227701945e+00,-4.012325772939591140e-01
1.119999999999999929e+01,1.960000000000000142e+01,1.119999999999999929e+01,-4.363539729985486670e-01
2.519999999999999929e+01,2.660000000000000142e+01,2.519999999999999929e+01,-3.086947944217073858e-01
